City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
355,kodiak,57.79,-152.4072,11.73,82,0,2.06,US,1690269057
356,playas,-2.6333,-80.3833,23.71,83,52,3.62,EC,1690269057
357,barcelos,41.5388,-8.6151,17.18,80,1,1.87,PT,1690268935
358,arraial do cabo,-22.9661,-42.0278,20.64,91,3,8.54,BR,1690268968
359,tsetserleg,47.475,101.4542,18.68,65,100,2.61,MN,1690269058
360,antsiranana,-12.2787,49.2917,27.18,51,84,6.37,MG,1690268841
361,zhangye,38.9342,100.4517,34.64,10,94,5.69,CN,1690269059
362,queenstown,-31.8976,26.8753,8.67,30,63,1.8,ZA,1690269060
363,lagkadas,40.75,23.0667,33.49,57,0,1.44,GR,1690269060
364,qui nhon,13.7667,109.2333,27.79,78,98,0.49,VN,1690269060
365,sumbawanga,-7.9667,31.6167,19.84,38,4,2.51,TZ,1690269061
366,bereznik,62.8551,42.7072,19.84,58,18,1.49,RU,1690269061
367,severo-yeniseyskiy,60.3725,93.0408,27.55,38,51,2.5,RU,1690269061
368,neryungri,56.6709,124.6491,25.71,47,81,1.29,RU,1690269062
369,bikenibeu village,1.3673,173.1241,27.98,83,40,5.66,KI,1690269062
370,upata,8.0086,-62.3989,24.0,97,90,1.16,VE,1690269063
371,fortuna,40.5982,-124.1573,15.37,94,0,0.0,US,1690269063
372,fort bragg,35.139,-79.006,24.0,95,0,0.0,US,1690269063
373,guerrero negro,27.9769,-114.0611,20.18,81,12,4.91,MX,1690269064
374,tamuin,21.9833,-98.75,24.72,81,100,1.66,MX,1690269064
375,beterou,9.1992,2.2586,22.74,95,97,1.36,BJ,1690269065
376,keflavik,64.0049,-22.5624,10.95,93,75,0.51,IS,1690269065
377,joshimath,30.5667,79.5667,25.98,83,91,3.14,IN,1690269065
378,anapa,44.8908,37.3239,26.19,54,20,4.0,RU,1690268774
379,lospalos,-8.5186,127.0025,22.16,61,31,5.37,TL,1690269066
380,mahilyow,53.9139,30.3364,18.45,89,100,4.81,BY,1690268946
381,badiyah,22.45,58.8,29.48,61,100,3.98,OM,1690269068
382,labytnangi,66.6572,66.4183,23.53,62,100,4.47,RU,1690269068
383,llorente,11.4119,125.5458,30.17,69,92,7.59,PH,1690269069
384,sinabang,2.4803,96.3801,29.89,67,18,1.66,ID,1690269070
385,itanhem,-17.1664,-40.33,19.27,91,100,0.92,BR,1690269070
386,prado,-17.3411,-39.2208,19.66,96,74,2.31,BR,1690269070
387,mount pearl,47.5166,-52.7813,19.14,92,100,1.34,CA,1690269071
388,sur,22.5667,59.5289,29.26,70,100,2.63,OM,1690269071
389,woolgoolga,-30.1106,153.2007,16.69,63,22,5.28,AU,1690269072
390,puerto armuelles,8.2833,-82.8667,27.83,70,100,1.34,PA,1690269072
391,berezovyy,51.6667,135.7,18.5,96,100,1.0,RU,1690269072
392,soto la marina,23.7667,-98.2167,24.2,89,100,1.63,MX,1690269073
393,quepos,9.4236,-84.1652,25.75,81,99,2.17,CR,1690269073
394,inongo,-1.95,18.2667,22.32,78,20,2.39,CD,1690269074
395,desna,50.9273,30.7605,26.03,48,100,4.07,UA,1690269074
396,lagos de moreno,21.35,-101.9167,14.47,87,100,2.74,MX,1690269075
397,nagqu,31.5,92.0,12.83,62,96,3.84,CN,1690269075
398,zintan,31.9223,12.252,33.72,14,0,5.73,LY,1690269075
399,bougouni,11.417,-7.479,23.51,91,100,1.14,ML,1690269076
400,new norfolk,-42.7826,147.0587,12.06,74,99,1.56,AU,1690269076
401,pisco,-13.7,-76.2167,16.12,80,5,0.66,PE,1690269076
402,cutral-co,-38.9469,-69.2089,3.84,10,60,0.89,AR,1690269077
403,hobyo,5.3505,48.5268,27.4,65,99,11.53,SO,1690269077
404,magadan,59.5667,150.8,23.63,69,9,2.82,RU,1690269078
405,sinjai,-5.1241,120.253,27.78,70,52,2.91,ID,1690269078
406,ad darb,17.7229,42.2526,41.11,19,23,3.44,SA,1690269079
407,taltal,-25.4,-70.4833,14.39,86,100,1.0,CL,1690269020
408,puerto san jose,13.9256,-90.8244,25.15,90,98,3.36,GT,1690269079
409,gaoual,11.75,-13.2,23.05,97,60,1.04,GN,1690269080
410,sumter,28.7086,-82.0831,24.41,87,92,1.53,US,1690269080
411,nyagan,62.1406,65.3936,22.86,55,86,1.73,RU,1690269081
412,ghadamis,30.1337,9.5007,35.55,14,0,6.65,LY,1690269081
413,sitangkai,4.6628,119.3928,28.41,79,98,8.45,PH,1690269081
414,karasu,41.071,30.7854,25.51,51,0,1.42,TR,1690269082
415,tralee,52.2704,-9.7026,12.34,88,7,1.13,IE,1690269082
416,vila velha,-20.3297,-40.2925,19.41,94,75,1.54,BR,1690269083
417,stanthorpe,-28.6667,151.95,11.35,70,51,4.25,AU,1690269083
418,presque isle,46.6811,-68.0159,19.24,86,0,1.54,US,1690268911
419,ban huai thalaeng,14.9833,102.65,30.2,65,92,4.62,TH,1690269084
420,shaowu,27.3409,117.4831,32.13,63,100,2.03,CN,1690268835
421,chibougamau,49.9168,-74.3659,15.79,94,100,1.34,CA,1690268981
422,mejit,10.2753,170.8646,28.38,76,100,8.04,MH,1690269085
423,faya-largeau,17.9257,19.1043,36.37,12,22,3.69,TD,1690269085
424,falmouth,50.1544,-5.0711,15.56,100,40,1.03,GB,1690269086
425,ebon,4.582,168.6964,28.74,74,16,3.94,MH,1690269086
426,huarmey,-10.0681,-78.1522,19.95,84,56,3.54,PE,1690269086
427,malabar,-33.9667,151.25,16.84,72,20,4.12,AU,1690269087
428,klyuchi,52.2667,79.1667,28.35,32,100,6.32,RU,1690269087
429,rio gallegos,-51.6226,-69.2181,-1.71,93,100,1.76,AR,1690269088
